Process Time,24 Hours,,,,,,,,48 Hours,,,,,,,,72 Hours,,,,,,,
Aggregate Radius,60 ?m,,120 ?m,,240 ?m,,360 ?m,,60 ?m,,120 ?m,,240 ?m,,360 ?m,,60 ?m,,120 ?m,,240 ?m,,360 ?m,
Reaction,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells,Outer Cells,Inner Cells
GLDHf,3.11E+01,3.00E+01,3.04E+01,3.03E+01,1.92E+01,1.97E+01,1.93E+01,1.93E+01,3.48E+01,3.40E+01,5.88E+01,5.55E+01,2.03E+01,2.01E+01,1.93E+01,2.05E+01,3.51E+01,3.40E+01,6.27E+01,6.10E+01,3.83E+01,2.64E+01,1.86E+01,1.93E+01
GLDHr,2.46E+00,2.83E+00,2.50E+00,3.33E+00,2.52E+00,3.01E+00,2.51E+00,3.09E+00,3.52E+00,3.55E+00,3.23E+00,3.33E+00,3.71E+00,3.83E+00,3.64E+00,3.65E+00,3.84E+00,3.83E+00,3.44E+00,3.39E+00,3.27E+00,2.87E+00,4.05E+00,4.03E+00
AlaTAf,3.92E+01,3.80E+01,3.83E+01,3.74E+01,2.78E+01,2.89E+01,2.84E+01,2.84E+01,4.49E+01,4.38E+01,9.34E+01,8.77E+01,2.52E+01,2.69E+01,2.81E+01,3.01E+01,4.53E+01,4.40E+01,1.16E+02,1.09E+02,5.55E+01,3.75E+01,2.35E+01,2.38E+01
AlaTAr,2.88E+01,3.25E+01,2.68E+01,2.05E+01,1.52E+01,1.02E-05,6.43E+01,1.02E+03,3.34E+01,3.21E+01,7.58E+01,6.84E+01,1.82E+01,6.90E-07,1.40E+01,5.55E-04,3.42E+01,3.44E+01,1.10E+02,8.45E+01,4.79E+01,6.37E-07,2.00E+01,6.50E-06
AlaT,3.32E+00,3.76E+00,3.19E+00,2.35E+00,1.37E-01,2.31E-08,1.21E-02,4.22E-02,4.24E+00,4.09E+00,1.24E+01,1.15E+01,1.26E+00,2.31E-08,5.83E-02,2.31E-08,4.34E+00,4.41E+00,1.29E+01,9.40E+00,3.71E+00,2.31E-08,4.89E-01,2.31E-08
GluT,2.01E+01,1.93E+01,1.96E+01,1.95E+01,1.24E+01,1.27E+01,1.25E+01,1.25E+01,2.25E+01,2.19E+01,3.80E+01,3.58E+01,1.31E+01,1.30E+01,1.24E+01,1.32E+01,2.27E+01,2.20E+01,4.05E+01,3.94E+01,2.47E+01,1.70E+01,1.20E+01,1.25E+01
GlnT,2.73E+02,2.68E+02,2.63E+02,2.60E+02,9.38E+02,1.51E+02,1.18E+03,7.34E-03,1.90E+02,1.85E+02,1.62E+02,1.48E+02,2.89E+02,1.81E+02,7.91E+02,8.19E-04,1.25E+01,1.13E+01,1.40E+01,1.04E+01,1.93E+01,3.47E+00,3.37E+01,4.13E-05
SAL,1.13E+01,1.13E+01,1.13E+01,1.12E+01,1.13E+01,1.08E+01,1.13E+01,9.26E+00,1.06E+01,1.05E+01,1.06E+01,1.03E+01,1.06E+01,9.23E+00,1.06E+01,4.55E+00,1.43E+00,1.15E+00,1.43E+00,6.46E-01,1.43E+00,5.53E-02,1.43E+00,4.94E-04
ASTAf,5.70E-04,5.88E-04,6.91E-04,8.21E-04,4.20E-05,3.30E-05,3.31E-05,3.31E-05,8.54E-04,8.15E-04,4.25E-03,4.40E-03,3.22E-04,9.18E-04,4.10E-05,3.28E-05,8.85E-04,8.36E-04,9.59E-03,9.74E-03,3.56E-03,3.20E-03,2.24E-04,3.35E-05
ASTAr,1.59E+00,1.76E+00,1.57E+00,2.08E+00,8.80E-01,1.09E+00,8.82E-01,1.08E+00,2.63E+00,2.59E+00,4.62E+00,4.55E+00,1.44E+00,1.50E+00,1.28E+00,1.38E+00,2.90E+00,2.81E+00,5.49E+00,5.37E+00,3.28E+00,2.27E+00,1.41E+00,1.47E+00
ASPT,1.10E+00,1.09E+00,1.10E+00,1.07E+00,1.10E+00,1.01E+00,1.10E+00,9.07E-01,9.71E-01,9.63E-01,9.71E-01,9.47E-01,9.71E-01,8.88E-01,9.71E-01,8.01E-01,6.90E-01,6.85E-01,6.90E-01,6.73E-01,6.90E-01,6.31E-01,6.90E-01,5.69E-01
ACL,1.70E+02,1.72E+02,1.47E+02,1.47E+02,5.00E+02,4.92E+02,5.14E+02,5.14E+02,1.30E+02,1.30E+02,8.12E+01,8.32E+01,3.01E+02,3.07E+02,5.07E+02,5.05E+02,1.27E+02,1.27E+02,8.92E+01,8.69E+01,7.78E+01,7.29E+01,3.55E+02,4.12E+02
Biomass,6.24E-02,7.02E-02,7.26E-02,6.02E-02,1.06E-05,3.38E-13,1.60E-08,8.09E-09,1.29E-01,1.15E-01,4.03E+00,3.63E+00,4.89E-03,1.05E-10,1.82E-06,1.61E-15,5.73E-03,4.08E-03,3.26E-01,8.24E-02,1.50E-02,4.10E-13,1.90E-05,4.93E-19
